"dose","param","type","country","value"
"DTP1","Shape","Low","Azerbaijan","5.757823944"
"DTP1","Shape","High","Azerbaijan","5.757823944"
"DTP1","Shape","Source","Azerbaijan","2m schedule (n=23)"
"DTP2","Shift","Mid","Azerbaijan","0"
"DTP2","Shift","Low","Azerbaijan","0"
"DTP2","Shift","High","Azerbaijan","0"
"DTP2","Shift","Source","Azerbaijan","WHO schedules database"
"DTP2","Scale","Mid","Azerbaijan","17.3327468"
"DTP2","Scale","Low","Azerbaijan","14.24175539"
"DTP2","Scale","High","Azerbaijan","21.06618317"
"DTP2","Scale","Source","Azerbaijan","13 week schedule (n=6)"
"DTP2","Shape","Mid","Azerbaijan","5.806069374"
"DTP2","Shape","Low","Azerbaijan","5.806069374"
"DTP2","Shape","High","Azerbaijan","5.806069374"
"DTP2","Shape","Source","Azerbaijan","13 week schedule (n=6)"
"DTP3","Shift","Mid","Azerbaijan","0.033333333"
"DTP3","Shift","Low","Azerbaijan","0.033333333"
"DTP3","Shift","High","Azerbaijan","0.033333333"
"DTP3","Shift","Source","Azerbaijan","WHO schedules database"
"DTP3","Scale","Mid","Azerbaijan","24.36918545"
"DTP3","Scale","Low","Azerbaijan","18.72993177"
"DTP3","Scale","High","Azerbaijan","29.65398531"
"DTP3","Scale","Source","Azerbaijan","4m schedule (n=5)"
"DTP3","Shape","Mid","Azerbaijan","5.00851962"
"DTP3","Shape","Low","Azerbaijan","5.00851962"
"DTP3","Shape","High","Azerbaijan","5.00851962"
"DTP3","Shape","Source","Azerbaijan","4m schedule (n=5)"
"DTP1","Shift","Mid","Bangladesh","0"
"DTP1","Shift","Low","Bangladesh","0"
"DTP1","Shift","High","Bangladesh","0"
"DTP1","Shift","Source","Bangladesh","WHO schedules database"
"DTP1","Scale","Mid","Bangladesh","8.943588257"
"DTP1","Scale","Low","Bangladesh","7.437475333"
"DTP1","Scale","High","Bangladesh","10.75469394"
"DTP1","Scale","Source","Bangladesh","2014_DHS7"
"DTP1","Shape","Mid","Bangladesh","5.95759201"
"DTP1","Shape","Low","Bangladesh","5.95759201"
"DTP1","Shape","High","Bangladesh","5.95759201"
"DTP1","Shape","Source","Bangladesh","2014_DHS7"
