Country,age,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Albania,60,93.06,78.48,66.19,55.82,47.07,39.7,33.48,28.23,23.81,20.08,16.934,14.281,20.423,21.286,26.445,30.087,32.75,34.235,47.138,49.492,57.738,63.186,64.684,75.057,91.164,94.259,81.868,72.347,66.637,78.221,105.05,107.803,92.996,80.539,63.06,64.731,62.911,57.3,47.402,38.398,33.186
Albania,65,4.51,5.02,5.6,6.23,6.94,7.74,8.62,9.6,10.7,11.92,13.279,14.794,12.705,18.518,19.09,23.416,26.804,29.071,30.572,39.153,44.25,52.506,55.787,58.867,69.837,85.319,88.684,77.387,68.65,63.469,74.828,100.924,103.904,89.842,77.95,61.104,62.831,61.158,55.772,46.174,37.42
Albania,70,3.28,3.65,4.06,4.53,5.04,5.61,6.25,6.96,7.75,8.63,9.616,10.709,12.237,10.791,15.427,15.555,19.224,21.864,23.913,23.128,31.917,37.281,46.426,50.41,52.442,62.762,77.305,80.952,71.103,63.468,59.04,70.034,94.99,98.215,85.204,74.129,58.228,60.031,58.571,53.532,44.396
Albania,75,1.04,1.24,1.47,1.75,2.07,2.46,2.92,3.46,4.11,4.88,5.792,6.874,7.927,9.389,7.995,10.983,11.176,13.663,15.715,15.703,15.896,23.381,30.55,37.222,41.429,43.672,52.933,65.997,69.909,62.062,55.987,52.589,62.946,86.023,89.474,78.002,68.142,53.742,55.64,54.506,50.003
Albania,80,10.95,9.86,8.88,8,7.2,6.49,5.84,5.26,4.74,4.27,3.844,3.462,4.303,5.197,5.794,4.609,6.394,6.394,7.924,8.101,9.274,9.199,15.221,20.36,25.727,29.303,31.575,39.109,49.81,53.834,48.746,44.782,42.758,51.894,71.744,75.352,66.23,58.339,46.37,48.389,47.76
Albania,85,"2,230.26","1,165.95",609.54,318.66,166.59,87.09,45.53,23.8,12.44,6.51,3.401,1.778,1.697,2.231,2.441,2.442,1.957,2.645,2.685,2.959,3.419,3.938,4.003,7.517,10.503,13.651,16.113,17.982,23.081,30.428,34.033,31.815,30.088,29.439,36.473,51.334,54.752,48.878,43.706,35.251,37.31
Albania,90,406.58,237.74,139.02,81.29,47.53,27.79,16.25,9.5,5.56,3.25,1.9,1.111,0.621,0.631,0.713,0.666,0.668,0.515,0.707,0.642,0.704,0.925,1.024,1.257,2.584,3.713,5.062,6.268,7.354,9.917,13.74,16.116,15.745,15.462,15.622,19.907,28.72,31.422,28.756,26.348,21.761
Albania,95,"227,168.50","68,082.12","20,404.13","6,115.09","1,832.69",549.25,164.61,49.33,14.79,4.43,1.328,0.398,0.251,0.147,0.124,0.111,0.104,0.099,0.08,0.093,0.082,0.104,0.129,0.174,0.242,0.505,0.77,1.114,1.471,1.842,2.656,3.929,4.904,5.058,5.207,5.487,7.26,10.894,12.388,11.781,11.213
Albania,100,0,0,0,0,0,0,0,0,0,0,0.001,0.161,0.072,0.043,0.02,0.012,0.01,0.009,0.009,0.006,0.006,0.007,0.008,0.01,0.015,0.021,0.045,0.074,0.114,0.162,0.22,0.339,0.539,0.732,0.824,0.904,1.006,1.369,2.137,2.665,2.79
Algeria,0,53.18,68.96,89.42,115.96,150.37,195,252.88,327.92,425.24,551.45,715.107,927.336,1052.973,1215.763,1367.615,1566.977,1792.24,1975.29,2028.375,1906.501,1576.131,1511.79,1966.415,2376.868,2574.062,2335.97,2116.681,2034.506,2113.455,2250.812,2317.43,2265.059,2144.583,2045.83,2006.691,2018.748,2033.178,2007.049,1942.237,1868.402,1815.883
Algeria,5,232.47,254.74,279.14,305.88,335.18,367.29,402.48,441.03,483.27,529.57,580.296,635.883,844.964,970.809,1138.423,1285.63,1490.633,1743.209,1940.746,2000.354,1882.782,1557.547,1495.882,1954.574,2366.637,2564.259,2328.046,2110.221,2028.946,2108.313,2245.97,2312.99,2261.101,2141.098,2042.72,2003.82,2016.008,2030.568,2004.579,1939.907,1866.214
Algeria,10,284.33,302.6,322.04,342.72,364.74,388.17,413.11,439.65,467.89,497.95,529.938,563.982,616.025,828.68,956.064,1116.128,1265.536,1478.155,1730.639,1927.664,1987.949,1871.701,1548.06,1490.203,1949.293,2360.911,2558.744,2323.497,2106.465,2025.655,2105.255,2243.066,2310.293,2258.677,2138.965,2040.8,2002.046,2014.329,2028.981,2003.086,1938.52
Algeria,15,328.22,341.52,355.37,369.77,384.76,400.36,416.59,433.47,451.04,469.33,488.349,508.144,535.298,583.536,812.171,929.445,1092.709,1255.244,1466.856,1713.837,1910.894,1976.991,1852.767,1541.126,1484.482,1942.736,2353.914,2551.908,2317.656,2101.444,2021.132,2100.954,2238.898,2306.348,2255.01,2135.602,2037.662,1999.058,2011.453,2026.219,2000.436
Algeria,20,130.9,146.24,163.37,182.51,203.9,227.79,254.48,284.3,317.61,354.82,396.394,442.839,468.038,473,551.939,773.628,894.674,1071.659,1240.598,1431.609,1673.171,1895.844,1941.273,1826.115,1531.025,1475.06,1932.217,2342.722,2540.871,2307.968,2092.864,2013.225,2093.319,2231.427,2299.131,2248.166,2129.183,2031.572,1993.213,2005.777,2020.689
Algeria,25,178.26,188.85,200.06,211.93,224.51,237.84,251.96,266.91,282.76,299.54,317.326,336.163,408.296,414.151,439.414,511.238,737.302,868.475,1049.898,1198.319,1378.992,1630.248,1838.756,1892.293,1812.011,1518.959,1463.885,1919.781,2329.51,2527.822,2296.452,2082.599,2003.716,2084.097,2222.348,2290.329,2239.794,2121.286,2024.07,1986.004,1998.771
Algeria,30,674.89,619.25,568.19,521.35,478.37,438.93,402.74,369.54,339.07,311.12,285.471,261.936,314.617,377.888,393.369,401.643,482.178,718.356,844.647,1020.174,1153.406,1313.987,1551.869,1797.623,1877.52,1798.329,1507.531,1453.342,1907.976,2316.895,2515.38,2285.52,2072.917,1994.771,2075.413,2213.794,2282.023,2231.898,2113.894,2017.117,1979.364
