"Country","age","1900","1905","1910","1915","1920","1925","1930","1935","1940","1945","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Albania",30,"12.90","14.35","15.96","17.76","19.76","21.99","24.46","27.22","30.29","33.70",37.493,41.716,47.884,53.648,65.655,70.997,79.906,102.376,127.471,124.95,112.114,98.333,89.167,80.381,101.291,109.17,99.433,78.893,60.988,66.362,65.288,47.901,33.001,22.581,19.446,17.154,13.928,9.451,4.725,0.888,0.031
"Albania",35,"16.67","17.91","19.24","20.67","22.20","23.85","25.62","27.52","29.57","31.76",34.12,36.653,40.992,47.363,53.056,65.018,70.421,79.398,101.895,111.995,116.906,106.503,94.268,79.569,76.191,97.056,105.782,96.943,76.461,58.602,63.973,62.908,45.555,30.685,20.283,17.153,14.867,11.644,7.174,2.454,0.027
"Albania",40,"19.21","20.19","21.22","22.31","23.45","24.65","25.91","27.24","28.63","30.10",31.636,33.255,35.918,40.454,46.724,52.408,64.34,69.83,78.895,91.425,103.801,113.556,99.171,92.51,76.614,73.265,94.628,103.919,95.132,74.734,56.941,62.309,61.259,43.957,29.125,18.747,15.628,13.346,10.13,5.668,0.953
"Albania",45,"2.25","2.86","3.62","4.60","5.83","7.39","9.37","11.88","15.06","19.09",24.21,30.697,32.451,35.318,39.748,45.96,51.66,63.582,69.185,71.83,83.869,101.157,107.086,97.67,90.245,74.469,71.529,93.176,102.452,93.739,73.457,55.756,61.117,60.086,42.854,28.075,17.733,14.625,12.353,9.148,4.692
"Albania",50,"49.14","45.93","42.92","40.11","37.48","35.02","32.73","30.59","28.58","26.71",24.961,23.326,29.768,31.751,34.511,38.885,45.076,50.832,62.773,64.238,64.907,81.951,98.684,105.36,95.681,88.362,72.997,70.364,91.889,101.143,92.532,72.406,54.833,60.188,59.181,42.048,27.345,17.051,13.959,11.697,8.496
"Albania",55,"1.78","2.25","2.85","3.61","4.57","5.78","7.32","9.26","11.72","14.83",18.775,23.763,22.389,28.905,30.773,33.493,37.867,44.092,49.95,59.062,55.647,63.16,81.104,97.847,103.252,93.755,86.747,71.795,69.237,90.597,99.823,91.344,71.434,54.029,59.373,58.402,41.4,26.8,16.57,13.5,11.243
"Albania",60,"53.89","48.65","43.91","39.64","35.78","32.30","29.16","26.32","23.76","21.44",19.357,17.473,22.366,21.413,27.558,29.383,32.135,36.566,42.86,46.841,50.781,53.675,62.655,77.146,95.295,100.676,91.589,84.964,70.356,67.915,89.038,98.224,89.943,70.344,53.19,58.519,57.6,40.787,26.332,16.198,13.146
"Albania",65,"5.71","6.31","6.98","7.72","8.53","9.43","10.43","11.54","12.76","14.11",15.598,17.248,15.817,20.724,19.717,25.401,27.274,30.124,34.629,39.41,39.866,47.95,53.44,60.128,73.946,91.558,97.033,88.603,82.35,68.299,66.047,86.788,95.914,87.944,68.844,52.088,57.395,56.558,40.047,25.828,15.827
"Albania",70,"2.60","3.01","3.48","4.03","4.66","5.39","6.23","7.21","8.34","9.64",11.155,12.903,14.584,13.83,17.898,17.012,22.132,24.12,27.052,30.222,31.917,35.861,45.865,52.527,55.69,68.741,85.582,91.309,83.699,78.074,64.967,63.028,83.104,92.111,84.672,66.426,50.352,55.614,54.913,38.928,25.093
"Albania",75,"1.99","2.26","2.57","2.93","3.33","3.79","4.31","4.90","5.58","6.34",7.215,8.207,9.779,11.58,10.708,13.755,13.239,17.593,19.595,21.245,21.59,26.293,30.847,38.632,45.107,48.102,59.986,75.674,81.408,75.196,70.652,59.178,57.772,76.632,85.403,78.902,62.181,47.329,52.492,52.03,36.968
