"country","age","pathogen","disease","scenario","Mid","Low","High"
"Mozambique","0-4","Hib","Hib pneumonia (severe)","Cases",247,148,498
"Myanmar","0-4","Hib","Hib pneumonia (severe)","Cases",255,153,515
"Namibia","0-4","Hib","Hib pneumonia (severe)","Cases",218,130,440
"Nepal","0-4","Hib","Hib pneumonia (severe)","Cases",231,138,467
"Nicaragua","0-4","Hib","Hib pneumonia (severe)","Cases",148,89,298
"Niger","0-4","Hib","Hib pneumonia (severe)","Cases",267,160,539
"Nigeria","0-4","Hib","Hib pneumonia (severe)","Cases",267,160,538
"Pakistan","0-4","Hib","Hib pneumonia (severe)","Cases",257,154,519
"Palestine, State of","0-4","Hib","Hib pneumonia (severe)","Cases",130,78,262
"Papua New Guinea","0-4","Hib","Hib pneumonia (severe)","Cases",190,114,384
"Paraguay","0-4","Hib","Hib pneumonia (severe)","Cases",148,88,298
"Peru","0-4","Hib","Hib pneumonia (severe)","Cases",112,67,225
"Philippines","0-4","Hib","Hib pneumonia (severe)","Cases",258,154,520
"Moldova, Republic of","0-4","Hib","Hib pneumonia (severe)","Cases",92,55,187
"Rwanda","0-4","Hib","Hib pneumonia (severe)","Cases",137,82,276
"Samoa","0-4","Hib","Hib pneumonia (severe)","Cases",135,81,272
"Sao Tome and Principe","0-4","Hib","Hib pneumonia (severe)","Cases",184,110,372
"Senegal","0-4","Hib","Hib pneumonia (severe)","Cases",224,134,451
"Serbia","0-4","Hib","Hib pneumonia (severe)","Cases",46,28,93
"Sierra Leone","0-4","Hib","Hib pneumonia (severe)","Cases",213,128,430
"Solomon Islands","0-4","Hib","Hib pneumonia (severe)","Cases",165,99,334
"Somalia","0-4","Hib","Hib pneumonia (severe)","Cases",414,248,836
"South Africa","0-4","Hib","Hib pneumonia (severe)","Cases",208,125,420
"South Sudan","0-4","Hib","Hib pneumonia (severe)","Cases",167,100,338
"Sri Lanka","0-4","Hib","Hib pneumonia (severe)","Cases",172,103,348
"Sudan","0-4","Hib","Hib pneumonia (severe)","Cases",172,103,347
"Swaziland","0-4","Hib","Hib pneumonia (severe)","Cases",156,94,316
"Syrian Arab Republic","0-4","Hib","Hib pneumonia (severe)","Cases",130,78,262
"Tajikistan","0-4","Hib","Hib pneumonia (severe)","Cases",46,28,93
"Macedonia, the former Yugoslav Republic of","0-4","Hib","Hib pneumonia (severe)","Cases",46,28,93
"Thailand","0-4","Hib","Hib pneumonia (severe)","Cases",148,89,299
"Timor-Leste","0-4","Hib","Hib pneumonia (severe)","Cases",236,141,476
"Togo","0-4","Hib","Hib pneumonia (severe)","Cases",218,131,440
"Tonga","0-4","Hib","Hib pneumonia (severe)","Cases",132,79,266
"Tunisia","0-4","Hib","Hib pneumonia (severe)","Cases",130,78,261
"Turkmenistan","0-4","Hib","Hib pneumonia (severe)","Cases",46,28,93
"Tuvalu","0-4","Hib","Hib pneumonia (severe)","Cases",132,79,266
"Uganda","0-4","Hib","Hib pneumonia (severe)","Cases",207,124,417
"Ukraine","0-4","Hib","Hib pneumonia (severe)","Cases",92,55,187
"Tanzania, United Republic of","0-4","Hib","Hib pneumonia (severe)","Cases",229,137,461
"Uzbekistan","0-4","Hib","Hib pneumonia (severe)","Cases",46,28,93
"Vanuatu","0-4","Hib","Hib pneumonia (severe)","Cases",207,124,417
"Venezuela, Bolivarian Republic of","0-4","Hib","Hib pneumonia (severe)","Cases",112,67,227
"Viet Nam","0-4","Hib","Hib pneumonia (severe)","Cases",214,128,431
"Yemen","0-4","Hib","Hib pneumonia (severe)","Cases",172,103,347
"Zambia","0-4","Hib","Hib pneumonia (severe)","Cases",258,155,522
"Zimbabwe","0-4","Hib","Hib pneumonia (severe)","Cases",216,129,436
"Afghanistan","0-4","Hib","Hib pneumonia (severe)","Deaths",63,44,83
"Albania","0-4","Hib","Hib pneumonia (severe)","Deaths",10,7,13
"Algeria","0-4","Hib","Hib pneumonia (severe)","Deaths",11,8,14
"Angola","0-4","Hib","Hib pneumonia (severe)","Deaths",115,81,152
"Armenia","0-4","Hib","Hib pneumonia (severe)","Deaths",5,4,7
"Azerbaijan","0-4","Hib","Hib pneumonia (severe)","Deaths",19,13,25
"Bangladesh","0-4","Hib","Hib pneumonia (severe)","Deaths",15,11,20
"Belarus","0-4","Hib","Hib pneumonia (severe)","Deaths",1,1,1
"Belize","0-4","Hib","Hib pneumonia (severe)","Deaths",5,4,7
"Benin","0-4","Hib","Hib pneumonia (severe)","Deaths",62,44,82
"Bhutan","0-4","Hib","Hib pneumonia (severe)","Deaths",14,10,19
"Bolivia, Plurinational State of","0-4","Hib","Hib pneumonia (severe)","Deaths",18,13,24
"Bosnia and Herzegovina","0-4","Hib","Hib pneumonia (severe)","Deaths",1,0,1
"Burkina Faso","0-4","Hib","Hib pneumonia (severe)","Deaths",53,37,69
"Burundi","0-4","Hib","Hib pneumonia (severe)","Deaths",58,41,76
"Cabo Verde","0-4","Hib","Hib pneumonia (severe)","Deaths",12,9,16
"Cambodia","0-4","Hib","Hib pneumonia (severe)","Deaths",15,11,20
"Cameroon","0-4","Hib","Hib pneumonia (severe)","Deaths",61,43,80
"Central African Republic","0-4","Hib","Hib pneumonia (severe)","Deaths",81,57,107
"Chad","0-4","Hib","Hib pneumonia (severe)","Deaths",112,79,147
"China","0-4","Hib","Hib pneumonia (severe)","Deaths",3,2,4
"Colombia","0-4","Hib","Hib pneumonia (severe)","Deaths",8,6,10
"Comoros","0-4","Hib","Hib pneumonia (severe)","Deaths",31,22,41
"Congo","0-4","Hib","Hib pneumonia (severe)","Deaths",24,17,32
"Cote d'Ivoire","0-4","Hib","Hib pneumonia (severe)","Deaths",45,32,60
"Cuba","0-4","Hib","Hib pneumonia (severe)","Deaths",2,1,2
"Korea, Democratic People's Republic of","0-4","Hib","Hib pneumonia (severe)","Deaths",13,9,17
"Congo, the Democratic Republic of the","0-4","Hib","Hib pneumonia (severe)","Deaths",68,48,90
"Djibouti","0-4","Hib","Hib pneumonia (severe)","Deaths",32,23,43
"Ecuador","0-4","Hib","Hib pneumonia (severe)","Deaths",13,9,17
"Egypt","0-4","Hib","Hib pneumonia (severe)","Deaths",12,8,16
"El Salvador","0-4","Hib","Hib pneumonia (severe)","Deaths",11,7,14
"Eritrea","0-4","Hib","Hib pneumonia (severe)","Deaths",30,21,40
"Ethiopia","0-4","Hib","Hib pneumonia (severe)","Deaths",32,22,42
"Fiji","0-4","Hib","Hib pneumonia (severe)","Deaths",14,9,18
"Gambia","0-4","Hib","Hib pneumonia (severe)","Deaths",40,28,53
"Georgia","0-4","Hib","Hib pneumonia (severe)","Deaths",3,2,4
"Ghana","0-4","Hib","Hib pneumonia (severe)","Deaths",29,20,38
"Guatemala","0-4","Hib","Hib pneumonia (severe)","Deaths",19,13,25
"Guinea","0-4","Hib","Hib pneumonia (severe)","Deaths",51,36,68
"Guinea-Bissau","0-4","Hib","Hib pneumonia (severe)","Deaths",51,36,67
"Guyana","0-4","Hib","Hib pneumonia (severe)","Deaths",14,10,18
"Haiti","0-4","Hib","Hib pneumonia (severe)","Deaths",50,35,66
"Honduras","0-4","Hib","Hib pneumonia (severe)","Deaths",12,8,15
"India","0-4","Hib","Hib pneumonia (severe)","Deaths",20,14,27
"Indonesia","0-4","Hib","Hib pneumonia (severe)","Deaths",16,11,20
"Iran, Islamic Republic of","0-4","Hib","Hib pneumonia (severe)","Deaths",6,4,8
"Iraq","0-4","Hib","Hib pneumonia (severe)","Deaths",15,10,19
"Jamaica","0-4","Hib","Hib pneumonia (severe)","Deaths",2,2,3
"Jordan","0-4","Hib","Hib pneumonia (severe)","Deaths",6,4,7
"Kenya","0-4","Hib","Hib pneumonia (severe)","Deaths",25,18,33
"Kiribati","0-4","Hib","Hib pneumonia (severe)","Deaths",35,25,47
"Kosovo","0-4","Hib","Hib pneumonia (severe)","Deaths",10,7,13
"Kyrgyzstan","0-4","Hib","Hib pneumonia (severe)","Deaths",12,8,16
"Lao People's Democratic Republic","0-4","Hib","Hib pneumonia (severe)","Deaths",42,29,55
"Lesotho","0-4","Hib","Hib pneumonia (severe)","Deaths",62,43,81
"Liberia","0-4","Hib","Hib pneumonia (severe)","Deaths",45,31,59
"Madagascar","0-4","Hib","Hib pneumonia (severe)","Deaths",34,24,45
"Malawi","0-4","Hib","Hib pneumonia (severe)","Deaths",37,26,48
"Mali","0-4","Hib","Hib pneumonia (severe)","Deaths",61,43,80
"Marshall Islands","0-4","Hib","Hib pneumonia (severe)","Deaths",20,14,26
"Mauritania","0-4","Hib","Hib pneumonia (severe)","Deaths",55,39,72
"Micronesia, Federated States of","0-4","Hib","Hib pneumonia (severe)","Deaths",20,14,26
"Mongolia","0-4","Hib","Hib pneumonia (severe)","Deaths",13,9,17
"Morocco","0-4","Hib","Hib pneumonia (severe)","Deaths",12,8,16
"Mozambique","0-4","Hib","Hib pneumonia (severe)","Deaths",47,33,62
"Myanmar","0-4","Hib","Hib pneumonia (severe)","Deaths",23,16,31
"Namibia","0-4","Hib","Hib pneumonia (severe)","Deaths",30,21,40
"Nepal","0-4","Hib","Hib pneumonia (severe)","Deaths",14,10,18
"Nicaragua","0-4","Hib","Hib pneumonia (severe)","Deaths",19,13,25
"Niger","0-4","Hib","Hib pneumonia (severe)","Deaths",71,50,94
"Nigeria","0-4","Hib","Hib pneumonia (severe)","Deaths",67,47,87
"Pakistan","0-4","Hib","Hib pneumonia (severe)","Deaths",41,29,54
"Palestine, State of","0-4","Hib","Hib pneumonia (severe)","Deaths",3,2,4
"Papua New Guinea","0-4","Hib","Hib pneumonia (severe)","Deaths",39,28,51
"Paraguay","0-4","Hib","Hib pneumonia (severe)","Deaths",10,7,14
"Peru","0-4","Hib","Hib pneumonia (severe)","Deaths",8,6,11
"Philippines","0-4","Hib","Hib pneumonia (severe)","Deaths",16,12,22
"Moldova, Republic of","0-4","Hib","Hib pneumonia (severe)","Deaths",4,3,6
"Rwanda","0-4","Hib","Hib pneumonia (severe)","Deaths",23,16,30
"Samoa","0-4","Hib","Hib pneumonia (severe)","Deaths",5,4,7
"Sao Tome and Principe","0-4","Hib","Hib pneumonia (severe)","Deaths",31,21,40
"Senegal","0-4","Hib","Hib pneumonia (severe)","Deaths",35,24,45
"Serbia","0-4","Hib","Hib pneumonia (severe)","Deaths",1,1,1
"Sierra Leone","0-4","Hib","Hib pneumonia (severe)","Deaths",80,56,105
"Solomon Islands","0-4","Hib","Hib pneumonia (severe)","Deaths",16,11,21
"Somalia","0-4","Hib","Hib pneumonia (severe)","Deaths",106,74,139
"South Africa","0-4","Hib","Hib pneumonia (severe)","Deaths",28,20,37
"South Sudan","0-4","Hib","Hib pneumonia (severe)","Deaths",52,36,68
"Sri Lanka","0-4","Hib","Hib pneumonia (severe)","Deaths",2,1,3
"Sudan","0-4","Hib","Hib pneumonia (severe)","Deaths",45,32,59
"Swaziland","0-4","Hib","Hib pneumonia (severe)","Deaths",45,31,59
"Syrian Arab Republic","0-4","Hib","Hib pneumonia (severe)","Deaths",3,2,4
"Tajikistan","0-4","Hib","Hib pneumonia (severe)","Deaths",33,23,43
"Macedonia, the former Yugoslav Republic of","0-4","Hib","Hib pneumonia (severe)","Deaths",1,1,2
"Thailand","0-4","Hib","Hib pneumonia (severe)","Deaths",3,2,4
"Timor-Leste","0-4","Hib","Hib pneumonia (severe)","Deaths",46,32,60
"Togo","0-4","Hib","Hib pneumonia (severe)","Deaths",44,31,58
"Tonga","0-4","Hib","Hib pneumonia (severe)","Deaths",7,5,9
"Tunisia","0-4","Hib","Hib pneumonia (severe)","Deaths",4,3,5
"Turkmenistan","0-4","Hib","Hib pneumonia (severe)","Deaths",36,25,48
"Tuvalu","0-4","Hib","Hib pneumonia (severe)","Deaths",7,5,9
"Uganda","0-4","Hib","Hib pneumonia (severe)","Deaths",34,24,44
"Ukraine","0-4","Hib","Hib pneumonia (severe)","Deaths",2,1,2
"Tanzania, United Republic of","0-4","Hib","Hib pneumonia (severe)","Deaths",32,22,42
"Uzbekistan","0-4","Hib","Hib pneumonia (severe)","Deaths",22,16,29
"Vanuatu","0-4","Hib","Hib pneumonia (severe)","Deaths",13,9,18
"Venezuela, Bolivarian Republic of","0-4","Hib","Hib pneumonia (severe)","Deaths",5,3,6
"Viet Nam","0-4","Hib","Hib pneumonia (severe)","Deaths",9,6,12
"Yemen","0-4","Hib","Hib pneumonia (severe)","Deaths",23,16,30
"Zambia","0-4","Hib","Hib pneumonia (severe)","Deaths",41,29,54
"Zimbabwe","0-4","Hib","Hib pneumonia (severe)","Deaths",44,31,58
"Afghanistan","0-4","Hib","Hib pneumonia (severe)","Hosps",218,131,440
"Albania","0-4","Hib","Hib pneumonia (severe)","Hosps",35,21,71
"Algeria","0-4","Hib","Hib pneumonia (severe)","Hosps",134,80,271
"Angola","0-4","Hib","Hib pneumonia (severe)","Hosps",70,42,141
"Armenia","0-4","Hib","Hib pneumonia (severe)","Hosps",35,21,71
"Azerbaijan","0-4","Hib","Hib pneumonia (severe)","Hosps",31,18,62
"Bangladesh","0-4","Hib","Hib pneumonia (severe)","Hosps",164,98,331
"Belarus","0-4","Hib","Hib pneumonia (severe)","Hosps",86,52,174
"Belize","0-4","Hib","Hib pneumonia (severe)","Hosps",113,67,227
"Benin","0-4","Hib","Hib pneumonia (severe)","Hosps",137,82,277
"Bhutan","0-4","Hib","Hib pneumonia (severe)","Hosps",103,62,208
"Bolivia, Plurinational State of","0-4","Hib","Hib pneumonia (severe)","Hosps",55,33,111
"Bosnia and Herzegovina","0-4","Hib","Hib pneumonia (severe)","Hosps",37,22,74
"Burkina Faso","0-4","Hib","Hib pneumonia (severe)","Hosps",123,74,249
"Burundi","0-4","Hib","Hib pneumonia (severe)","Hosps",103,62,209
"Cabo Verde","0-4","Hib","Hib pneumonia (severe)","Hosps",150,90,302
"Cambodia","0-4","Hib","Hib pneumonia (severe)","Hosps",151,91,305
"Cameroon","0-4","Hib","Hib pneumonia (severe)","Hosps",107,64,216
"Central African Republic","0-4","Hib","Hib pneumonia (severe)","Hosps",102,61,205
"Chad","0-4","Hib","Hib pneumonia (severe)","Hosps",106,64,214
"China","0-4","Hib","Hib pneumonia (severe)","Hosps",56,34,114
"Colombia","0-4","Hib","Hib pneumonia (severe)","Hosps",84,50,169
"Comoros","0-4","Hib","Hib pneumonia (severe)","Hosps",135,81,272
"Congo","0-4","Hib","Hib pneumonia (severe)","Hosps",101,61,204
"Cote d'Ivoire","0-4","Hib","Hib pneumonia (severe)","Hosps",57,34,116
"Cuba","0-4","Hib","Hib pneumonia (severe)","Hosps",37,22,74
"Korea, Democratic People's Republic of","0-4","Hib","Hib pneumonia (severe)","Hosps",98,59,198
"Congo, the Democratic Republic of the","0-4","Hib","Hib pneumonia (severe)","Hosps",125,75,252
"Djibouti","0-4","Hib","Hib pneumonia (severe)","Hosps",87,52,176
"Ecuador","0-4","Hib","Hib pneumonia (severe)","Hosps",85,51,172
"Egypt","0-4","Hib","Hib pneumonia (severe)","Hosps",79,47,159
"El Salvador","0-4","Hib","Hib pneumonia (severe)","Hosps",112,67,226
"Eritrea","0-4","Hib","Hib pneumonia (severe)","Hosps",142,85,287
"Ethiopia","0-4","Hib","Hib pneumonia (severe)","Hosps",108,65,219
"Fiji","0-4","Hib","Hib pneumonia (severe)","Hosps",109,65,220
"Gambia","0-4","Hib","Hib pneumonia (severe)","Hosps",108,65,218
"Georgia","0-4","Hib","Hib pneumonia (severe)","Hosps",37,22,74
"Ghana","0-4","Hib","Hib pneumonia (severe)","Hosps",85,51,172
"Guatemala","0-4","Hib","Hib pneumonia (severe)","Hosps",98,59,198
"Guinea","0-4","Hib","Hib pneumonia (severe)","Hosps",109,65,220
"Guinea-Bissau","0-4","Hib","Hib pneumonia (severe)","Hosps",111,66,224
"Guyana","0-4","Hib","Hib pneumonia (severe)","Hosps",135,81,273
"Haiti","0-4","Hib","Hib pneumonia (severe)","Hosps",101,60,204
"Honduras","0-4","Hib","Hib pneumonia (severe)","Hosps",98,58,197
"India","0-4","Hib","Hib pneumonia (severe)","Hosps",208,125,420
"Indonesia","0-4","Hib","Hib pneumonia (severe)","Hosps",194,116,392
"Iran, Islamic Republic of","0-4","Hib","Hib pneumonia (severe)","Hosps",98,59,198
"Iraq","0-4","Hib","Hib pneumonia (severe)","Hosps",114,68,231
"Jamaica","0-4","Hib","Hib pneumonia (severe)","Hosps",85,51,172
"Jordan","0-4","Hib","Hib pneumonia (severe)","Hosps",98,59,198
"Kenya","0-4","Hib","Hib pneumonia (severe)","Hosps",139,83,281
"Kiribati","0-4","Hib","Hib pneumonia (severe)","Hosps",96,58,194
"Kosovo","0-4","Hib","Hib pneumonia (severe)","Hosps",35,21,71
"Kyrgyzstan","0-4","Hib","Hib pneumonia (severe)","Hosps",35,21,71
"Lao People's Democratic Republic","0-4","Hib","Hib pneumonia (severe)","Hosps",215,129,433
"Lesotho","0-4","Hib","Hib pneumonia (severe)","Hosps",117,70,237
"Liberia","0-4","Hib","Hib pneumonia (severe)","Hosps",92,55,185
"Madagascar","0-4","Hib","Hib pneumonia (severe)","Hosps",114,68,231
"Malawi","0-4","Hib","Hib pneumonia (severe)","Hosps",99,59,200
"Mali","0-4","Hib","Hib pneumonia (severe)","Hosps",131,79,265
"Marshall Islands","0-4","Hib","Hib pneumonia (severe)","Hosps",133,80,269
"Mauritania","0-4","Hib","Hib pneumonia (severe)","Hosps",99,59,200
"Micronesia, Federated States of","0-4","Hib","Hib pneumonia (severe)","Hosps",133,80,269
"Mongolia","0-4","Hib","Hib pneumonia (severe)","Hosps",88,53,178
"Morocco","0-4","Hib","Hib pneumonia (severe)","Hosps",114,68,231
"Mozambique","0-4","Hib","Hib pneumonia (severe)","Hosps",124,74,250
"Myanmar","0-4","Hib","Hib pneumonia (severe)","Hosps",169,101,342
"Namibia","0-4","Hib","Hib pneumonia (severe)","Hosps",145,87,292
"Nepal","0-4","Hib","Hib pneumonia (severe)","Hosps",154,92,310
"Nicaragua","0-4","Hib","Hib pneumonia (severe)","Hosps",112,67,226
"Niger","0-4","Hib","Hib pneumonia (severe)","Hosps",134,80,271
"Nigeria","0-4","Hib","Hib pneumonia (severe)","Hosps",134,80,270
"Pakistan","0-4","Hib","Hib pneumonia (severe)","Hosps",129,77,261
"Palestine, State of","0-4","Hib","Hib pneumonia (severe)","Hosps",98,59,198
"Papua New Guinea","0-4","Hib","Hib pneumonia (severe)","Hosps",126,76,255
"Paraguay","0-4","Hib","Hib pneumonia (severe)","Hosps",98,59,198
"Peru","0-4","Hib","Hib pneumonia (severe)","Hosps",74,44,150
"Philippines","0-4","Hib","Hib pneumonia (severe)","Hosps",171,102,345
"Moldova, Republic of","0-4","Hib","Hib pneumonia (severe)","Hosps",70,42,141
"Rwanda","0-4","Hib","Hib pneumonia (severe)","Hosps",69,41,138
"Samoa","0-4","Hib","Hib pneumonia (severe)","Hosps",102,61,206
"Sao Tome and Principe","0-4","Hib","Hib pneumonia (severe)","Hosps",122,73,247
"Senegal","0-4","Hib","Hib pneumonia (severe)","Hosps",148,89,300
"Serbia","0-4","Hib","Hib pneumonia (severe)","Hosps",37,22,74
"Sierra Leone","0-4","Hib","Hib pneumonia (severe)","Hosps",107,64,216
"Solomon Islands","0-4","Hib","Hib pneumonia (severe)","Hosps",110,66,222
"Somalia","0-4","Hib","Hib pneumonia (severe)","Hosps",208,124,420
"South Africa","0-4","Hib","Hib pneumonia (severe)","Hosps",138,83,279
"South Sudan","0-4","Hib","Hib pneumonia (severe)","Hosps",84,50,170
"Sri Lanka","0-4","Hib","Hib pneumonia (severe)","Hosps",137,82,277
"Sudan","0-4","Hib","Hib pneumonia (severe)","Hosps",86,52,174
"Swaziland","0-4","Hib","Hib pneumonia (severe)","Hosps",78,47,158
"Syrian Arab Republic","0-4","Hib","Hib pneumonia (severe)","Hosps",98,59,198
"Tajikistan","0-4","Hib","Hib pneumonia (severe)","Hosps",31,18,62
"Macedonia, the former Yugoslav Republic of","0-4","Hib","Hib pneumonia (severe)","Hosps",37,22,74
"Thailand","0-4","Hib","Hib pneumonia (severe)","Hosps",118,71,238
"Timor-Leste","0-4","Hib","Hib pneumonia (severe)","Hosps",157,94,316
"Togo","0-4","Hib","Hib pneumonia (severe)","Hosps",109,66,221
"Tonga","0-4","Hib","Hib pneumonia (severe)","Hosps",100,60,202
"Tunisia","0-4","Hib","Hib pneumonia (severe)","Hosps",98,59,198
"Turkmenistan","0-4","Hib","Hib pneumonia (severe)","Hosps",31,18,62
"Tuvalu","0-4","Hib","Hib pneumonia (severe)","Hosps",100,60,202
"Uganda","0-4","Hib","Hib pneumonia (severe)","Hosps",104,62,209
"Ukraine","0-4","Hib","Hib pneumonia (severe)","Hosps",73,44,148
"Tanzania, United Republic of","0-4","Hib","Hib pneumonia (severe)","Hosps",115,69,232
"Uzbekistan","0-4","Hib","Hib pneumonia (severe)","Hosps",31,18,62
"Vanuatu","0-4","Hib","Hib pneumonia (severe)","Hosps",137,82,277
"Venezuela, Bolivarian Republic of","0-4","Hib","Hib pneumonia (severe)","Hosps",85,51,172
"Viet Nam","0-4","Hib","Hib pneumonia (severe)","Hosps",162,97,327
"Yemen","0-4","Hib","Hib pneumonia (severe)","Hosps",114,68,231
"Zambia","0-4","Hib","Hib pneumonia (severe)","Hosps",130,78,262
"Zimbabwe","0-4","Hib","Hib pneumonia (severe)","Hosps",108,65,219
"Afghanistan","0-4","Hib","Hib pneumonia (severe)","Visits",218,131,440
"Albania","0-4","Hib","Hib pneumonia (severe)","Visits",35,21,71
"Algeria","0-4","Hib","Hib pneumonia (severe)","Visits",134,80,271
"Angola","0-4","Hib","Hib pneumonia (severe)","Visits",70,42,141
"Armenia","0-4","Hib","Hib pneumonia (severe)","Visits",35,21,71
"Azerbaijan","0-4","Hib","Hib pneumonia (severe)","Visits",31,18,62
"Bangladesh","0-4","Hib","Hib pneumonia (severe)","Visits",164,98,331
"Belarus","0-4","Hib","Hib pneumonia (severe)","Visits",86,52,174
"Belize","0-4","Hib","Hib pneumonia (severe)","Visits",113,67,227
"Benin","0-4","Hib","Hib pneumonia (severe)","Visits",137,82,277
"Bhutan","0-4","Hib","Hib pneumonia (severe)","Visits",103,62,208
"Bolivia, Plurinational State of","0-4","Hib","Hib pneumonia (severe)","Visits",55,33,111
"Bosnia and Herzegovina","0-4","Hib","Hib pneumonia (severe)","Visits",37,22,74
"Burkina Faso","0-4","Hib","Hib pneumonia (severe)","Visits",123,74,249
"Burundi","0-4","Hib","Hib pneumonia (severe)","Visits",103,62,209
"Cabo Verde","0-4","Hib","Hib pneumonia (severe)","Visits",150,90,302
"Cambodia","0-4","Hib","Hib pneumonia (severe)","Visits",151,91,305
"Cameroon","0-4","Hib","Hib pneumonia (severe)","Visits",107,64,216
"Central African Republic","0-4","Hib","Hib pneumonia (severe)","Visits",102,61,205
"Chad","0-4","Hib","Hib pneumonia (severe)","Visits",106,64,214
"China","0-4","Hib","Hib pneumonia (severe)","Visits",56,34,114
"Colombia","0-4","Hib","Hib pneumonia (severe)","Visits",84,50,169
"Comoros","0-4","Hib","Hib pneumonia (severe)","Visits",135,81,272
"Congo","0-4","Hib","Hib pneumonia (severe)","Visits",101,61,204
"Cote d'Ivoire","0-4","Hib","Hib pneumonia (severe)","Visits",57,34,116
"Cuba","0-4","Hib","Hib pneumonia (severe)","Visits",37,22,74
"Korea, Democratic People's Republic of","0-4","Hib","Hib pneumonia (severe)","Visits",98,59,198
"Congo, the Democratic Republic of the","0-4","Hib","Hib pneumonia (severe)","Visits",125,75,252
"Djibouti","0-4","Hib","Hib pneumonia (severe)","Visits",87,52,176
"Ecuador","0-4","Hib","Hib pneumonia (severe)","Visits",85,51,172
"Egypt","0-4","Hib","Hib pneumonia (severe)","Visits",79,47,159
"El Salvador","0-4","Hib","Hib pneumonia (severe)","Visits",112,67,226
"Eritrea","0-4","Hib","Hib pneumonia (severe)","Visits",142,85,287
"Ethiopia","0-4","Hib","Hib pneumonia (severe)","Visits",108,65,219
"Fiji","0-4","Hib","Hib pneumonia (severe)","Visits",109,65,220
"Gambia","0-4","Hib","Hib pneumonia (severe)","Visits",108,65,218
"Georgia","0-4","Hib","Hib pneumonia (severe)","Visits",37,22,74
"Ghana","0-4","Hib","Hib pneumonia (severe)","Visits",85,51,172
"Guatemala","0-4","Hib","Hib pneumonia (severe)","Visits",98,59,198
"Guinea","0-4","Hib","Hib pneumonia (severe)","Visits",109,65,220
"Guinea-Bissau","0-4","Hib","Hib pneumonia (severe)","Visits",111,66,224
"Guyana","0-4","Hib","Hib pneumonia (severe)","Visits",135,81,273
"Haiti","0-4","Hib","Hib pneumonia (severe)","Visits",101,60,204
"Honduras","0-4","Hib","Hib pneumonia (severe)","Visits",98,58,197
"India","0-4","Hib","Hib pneumonia (severe)","Visits",208,125,420
"Indonesia","0-4","Hib","Hib pneumonia (severe)","Visits",194,116,392
"Iran, Islamic Republic of","0-4","Hib","Hib pneumonia (severe)","Visits",98,59,198
"Iraq","0-4","Hib","Hib pneumonia (severe)","Visits",114,68,231
"Jamaica","0-4","Hib","Hib pneumonia (severe)","Visits",85,51,172
"Jordan","0-4","Hib","Hib pneumonia (severe)","Visits",98,59,198
"Kenya","0-4","Hib","Hib pneumonia (severe)","Visits",139,83,281
"Kiribati","0-4","Hib","Hib pneumonia (severe)","Visits",96,58,194
"Kosovo","0-4","Hib","Hib pneumonia (severe)","Visits",35,21,71
"Kyrgyzstan","0-4","Hib","Hib pneumonia (severe)","Visits",35,21,71
"Lao People's Democratic Republic","0-4","Hib","Hib pneumonia (severe)","Visits",215,129,433
"Lesotho","0-4","Hib","Hib pneumonia (severe)","Visits",117,70,237
"Liberia","0-4","Hib","Hib pneumonia (severe)","Visits",92,55,185
"Madagascar","0-4","Hib","Hib pneumonia (severe)","Visits",114,68,231
"Malawi","0-4","Hib","Hib pneumonia (severe)","Visits",99,59,200
"Mali","0-4","Hib","Hib pneumonia (severe)","Visits",131,79,265
"Marshall Islands","0-4","Hib","Hib pneumonia (severe)","Visits",133,80,269
"Mauritania","0-4","Hib","Hib pneumonia (severe)","Visits",99,59,200
"Micronesia, Federated States of","0-4","Hib","Hib pneumonia (severe)","Visits",133,80,269
"Mongolia","0-4","Hib","Hib pneumonia (severe)","Visits",88,53,178
"Morocco","0-4","Hib","Hib pneumonia (severe)","Visits",114,68,231
"Mozambique","0-4","Hib","Hib pneumonia (severe)","Visits",124,74,250
"Myanmar","0-4","Hib","Hib pneumonia (severe)","Visits",169,101,342
"Namibia","0-4","Hib","Hib pneumonia (severe)","Visits",145,87,292
"Nepal","0-4","Hib","Hib pneumonia (severe)","Visits",154,92,310
"Nicaragua","0-4","Hib","Hib pneumonia (severe)","Visits",112,67,226
"Niger","0-4","Hib","Hib pneumonia (severe)","Visits",134,80,271
"Nigeria","0-4","Hib","Hib pneumonia (severe)","Visits",134,80,270
"Pakistan","0-4","Hib","Hib pneumonia (severe)","Visits",129,77,261
"Palestine, State of","0-4","Hib","Hib pneumonia (severe)","Visits",98,59,198
"Papua New Guinea","0-4","Hib","Hib pneumonia (severe)","Visits",126,76,255
"Paraguay","0-4","Hib","Hib pneumonia (severe)","Visits",98,59,198
"Peru","0-4","Hib","Hib pneumonia (severe)","Visits",74,44,150
"Philippines","0-4","Hib","Hib pneumonia (severe)","Visits",171,102,345
"Moldova, Republic of","0-4","Hib","Hib pneumonia (severe)","Visits",70,42,141
"Rwanda","0-4","Hib","Hib pneumonia (severe)","Visits",69,41,138
"Samoa","0-4","Hib","Hib pneumonia (severe)","Visits",102,61,206
"Sao Tome and Principe","0-4","Hib","Hib pneumonia (severe)","Visits",122,73,247
"Senegal","0-4","Hib","Hib pneumonia (severe)","Visits",148,89,300
"Serbia","0-4","Hib","Hib pneumonia (severe)","Visits",37,22,74
