"country","mortality_group","pathogen","brand","Dose","efficacy","scaling_factor","gamma_params","mid","low","high"
"China","Medium","Rota","ROTARIX","D3","E2",0.85,"alpha",0.4,0.4,0.4
"China","Medium","Rota","ROTARIX","D3","E2",0.85,"beta",304.65,203.15,455.9
"China","Medium","Hib","Hib vaccine","D1","E1",1,"VE",0.59,0,0.86
"China","Medium","Hib","Hib vaccine","D1","E1",1,"Mean",10000,10000,10000
"China","Medium","Hib","Hib vaccine","D1","E1",1,"alpha",100,100,100
"China","Medium","Hib","Hib vaccine","D1","E1",1,"beta",100,100,100
"China","Medium","Hib","Hib vaccine","D2","E1",1,"VE",0.92,0.69,0.98
"China","Medium","Hib","Hib vaccine","D2","E1",1,"Mean",10000,10000,10000
"China","Medium","Hib","Hib vaccine","D2","E1",1,"alpha",100,100,100
"China","Medium","Hib","Hib vaccine","D2","E1",1,"beta",100,100,100
"China","Medium","Hib","Hib vaccine","D3","E1",1,"VE",0.93,0.83,0.97
"China","Medium","Hib","Hib vaccine","D3","E1",1,"Mean",10000,10000,10000
"China","Medium","Hib","Hib vaccine","D3","E1",1,"alpha",100,100,100
"China","Medium","Hib","Hib vaccine","D3","E1",1,"beta",100,100,100
"China","Medium","Hib","Hib vaccine","D1","E2",0.7,"VE",0.413,0,0.602
"China","Medium","Hib","Hib vaccine","D1","E2",0.7,"Mean",10000,10000,10000
"China","Medium","Hib","Hib vaccine","D1","E2",0.7,"alpha",100,100,100
"China","Medium","Hib","Hib vaccine","D1","E2",0.7,"beta",100,100,100
"China","Medium","Hib","Hib vaccine","D2","E2",0.7,"VE",0.644,0.483,0.686
"China","Medium","Hib","Hib vaccine","D2","E2",0.7,"Mean",10000,10000,10000
"China","Medium","Hib","Hib vaccine","D2","E2",0.7,"alpha",100,100,100
"China","Medium","Hib","Hib vaccine","D2","E2",0.7,"beta",100,100,100
"China","Medium","Hib","Hib vaccine","D3","E2",0.7,"VE",0.651,0.581,0.679
"China","Medium","Hib","Hib vaccine","D3","E2",0.7,"Mean",10000,10000,10000
"China","Medium","Hib","Hib vaccine","D3","E2",0.7,"alpha",100,100,100
"China","Medium","Hib","Hib vaccine","D3","E2",0.7,"beta",100,100,100
"Ethiopia","Very high","Sp","PCV13","D1","E1",1,"VE",0.29,0.15,0.38
"Ethiopia","Very high","Sp","PCV13","D1","E1",1,"Mean",10000,10000,10000
"Ethiopia","Very high","Sp","PCV13","D1","E1",1,"alpha",100,100,100
"Ethiopia","Very high","Sp","PCV13","D1","E1",1,"beta",100,100,100
"Ethiopia","Very high","Sp","PCV13","D2","E1",1,"VE",0.58,0.29,0.75
"Ethiopia","Very high","Sp","PCV13","D2","E1",1,"Mean",10000,10000,10000
"Ethiopia","Very high","Sp","PCV13","D2","E1",1,"alpha",100,100,100
"Ethiopia","Very high","Sp","PCV13","D2","E1",1,"beta",100,100,100
